country,count
Afghanistan,1
Angola,1
Australia,19
Bahrain,1
Bangladesh,6
Benin,2
British Virgin Islands,1
Burkina Faso,1
Cambodia,7
Cameroon,2
Canada,18
Cayman Islands,1
Chad,1
China (Mainland),19
Congo (DRC),1
Congo (RC),1
Denmark,2
East Timor / Timor-Leste,2
Ethiopia,8
Fiji,1
France,19
Germany,5
Ghana,1
Haiti,2
Hong Kong,9
India,7
Indonesia,3
Israel,3
Ivory Coast,2
Japan,19
Jersey,1
Kenya,7
Kuwait,1
Laos,4
Luxembourg,2
Macau,1
Madagascar,1
Malawi,1
Malaysia,6
Mali,2
Mauritania,3
Mauritius,3
Morocco,3
Mozambique,2
Myanmar,9
Nepal,12
Netherlands,6
Nigeria,1
Norway,2
Qatar,1
Russia,1
Rwanda,1
Saudi Arabia,1
Senegal,4
Singapore,14
South Africa,12
South Korea,6
Spain,1
Sudan,2
Switzerland,5
Taiwan,5
Tanzania,4
Thailand,6
Togo,2
Uganda,1
United Arab Emirates,3
United Kingdom,22
United States,23
Unknown,9
Vietnam,1
Yemen,1
Zambia,4
Zimbabwe,3
